point_A,point_B,n_vuelos,lat_A,long_A,lat_B,long_B
Acapulco,Cancun,18,16.84948,-99.90943,21.1622,-86.83568
Acapulco,Guadalajara,18,16.84948,-99.90943,20.68758,-103.35104
Acapulco,Mexico,513,16.84948,-99.90943,23.95282499,-102.548353419
Acapulco,Monterrey,20,16.84948,-99.90943,25.67093,-100.30999
Acapulco,Tijuana,62,16.84948,-99.90943,32.53507,-117.04097
Aguascalientes,Cancun,62,21.8812,-102.29607,21.1622,-86.83568
Aguascalientes,Mexico,331,21.8812,-102.29607,23.95282499,-102.548353419
Aguascalientes,Monterrey,61,21.8812,-102.29607,25.67093,-100.30999
Aguascalientes,Puerto Vallarta,64,21.8812,-102.29607,20.60841,-105.23525
Aguascalientes,Tijuana,136,21.8812,-102.29607,32.53507,-117.04097
Campeche,Mexico,126,19.84549,-90.53702,23.95282499,-102.548353419
Cancun,Chihuahua,56,21.1622,-86.83568,28.63568,-106.07592
Cancun,Ciudad Juarez,70,21.1622,-86.83568,31.73836,-106.48776
Cancun,Del Bajio,150,21.1622,-86.83568,20.66774,-101.33058
Cancun,Guadalajara,574,21.1622,-86.83568,20.68758,-103.35104
Cancun,Merida,33,21.1622,-86.83568,20.9667,-89.62317
Cancun,Mexicali,36,21.1622,-86.83568,32.6411,-115.4745
Cancun,Mexico,2287,21.1622,-86.83568,23.95282499,-102.548353419
Cancun,Monterrey,632,21.1622,-86.83568,25.67093,-100.30999
Cancun,Oaxaca,32,21.1622,-86.83568,17.06173,-96.7261
Cancun,Puebla,142,21.1622,-86.83568,19.04386,-98.19756
Cancun,Queretaro,89,21.1622,-86.83568,20.59209,-100.39601
Cancun,Reynosa,36,21.1622,-86.83568,26.09279,-98.27749
Cancun,San Luis Potosi,72,21.1622,-86.83568,22.15271,-100.97663
Cancun,Tampico,20,21.1622,-86.83568,22.25172,-97.86479
Cancun,Tijuana,159,21.1622,-86.83568,32.53507,-117.04097
Cancun,Torreon,18,21.1622,-86.83568,25.53938,-103.45327
Cancun,Tuxtla Gutierrez,80,21.1622,-86.83568,16.75519,-93.11544
Cancun,Veracruz,124,21.1622,-86.83568,19.19535,-96.13683
Cancun,Villahermosa,55,21.1622,-86.83568,17.99864,-92.90197
Chetumal,Guadalajara,36,18.50186,-88.30303,20.68758,-103.35104
Chetumal,Mexico,246,18.50186,-88.30303,23.95282499,-102.548353419
Chihuahua,Ciudad Juarez,32,28.63568,-106.07592,31.73836,-106.48776
Chihuahua,Culiacan,59,28.63568,-106.07592,24.80769,-107.39447
Chihuahua,Guadalajara,109,28.63568,-106.07592,20.68758,-103.35104
Chihuahua,Hermosillo,42,28.63568,-106.07592,29.07455,-110.95912
Chihuahua,Los Mochis,28,28.63568,-106.07592,25.79269,-108.98897
Chihuahua,Mazatlan,18,28.63568,-106.07592,23.2,-106.42175
Chihuahua,Mexico,520,28.63568,-106.07592,23.95282499,-102.548353419
Chihuahua,Monterrey,88,28.63568,-106.07592,25.67093,-100.30999
Chihuahua,Queretaro,23,28.63568,-106.07592,20.59209,-100.39601
Chihuahua,Tijuana,63,28.63568,-106.07592,32.53507,-117.04097
Ciudad Del Carmen,Mexico,184,18.65412,-91.78997,23.95282499,-102.548353419
Ciudad Del Carmen,Queretaro,1,18.65412,-91.78997,20.59209,-100.39601
Ciudad Del Carmen,Tampico,33,18.65412,-91.78997,22.25172,-97.86479
Ciudad Del Carmen,Veracruz,28,18.65412,-91.78997,19.19535,-96.13683
Ciudad Juarez,Del Bajio,62,31.73836,-106.48776,20.66774,-101.33058
Ciudad Juarez,Durango,32,31.73836,-106.48776,24.00683,-104.68135
Ciudad Juarez,Guadalajara,167,31.73836,-106.48776,20.68758,-103.35104
Ciudad Juarez,Hermosillo,26,31.73836,-106.48776,29.07455,-110.95912
Ciudad Juarez,Mazatlan,34,31.73836,-106.48776,23.2,-106.42175
Ciudad Juarez,Mexico,441,31.73836,-106.48776,23.95282499,-102.548353419
Ciudad Juarez,Monterrey,92,31.73836,-106.48776,25.67093,-100.30999
Ciudad Juarez,Puerto Vallarta,18,31.73836,-106.48776,20.60841,-105.23525
Ciudad Juarez,San Luis Potosi,2,31.73836,-106.48776,22.15271,-100.97663
Ciudad Juarez,Tijuana,62,31.73836,-106.48776,32.53507,-117.04097
Ciudad Juarez,Torreon,32,31.73836,-106.48776,25.53938,-103.45327
Ciudad Obregon,Guadalajara,54,27.4934,-109.93542,20.68758,-103.35104
Ciudad Obregon,Los Cabos,2,27.4934,-109.93542,23.06158,-109.69529
Ciudad Obregon,Mexico,158,27.4934,-109.93542,23.95282499,-102.548353419
Ciudad Obregon,Monterrey,20,27.4934,-109.93542,25.67093,-100.30999
Ciudad Obregon,Tijuana,72,27.4934,-109.93542,32.53507,-117.04097
Ciudad Victoria,Mexico,25,23.7311,-99.15389,23.95282499,-102.548353419
Colima,Mexico,77,19.24249,-103.7273,23.95282499,-102.548353419
Colima,Tijuana,78,19.24249,-103.7273,32.53507,-117.04097
Cozumel,Mexico,122,20.49978,-86.95449,23.95282499,-102.548353419
Culiacan,Guadalajara,164,24.80769,-107.39447,20.68758,-103.35104
Culiacan,Hermosillo,70,24.80769,-107.39447,29.07455,-110.95912
Culiacan,La Paz,81,24.80769,-107.39447,24.16185,-110.31322
Culiacan,Mexicali,56,24.80769,-107.39447,32.6411,-115.4745
Culiacan,Mexico,381,24.80769,-107.39447,23.95282499,-102.548353419
Culiacan,Monterrey,85,24.80769,-107.39447,25.67093,-100.30999
Culiacan,San José Del Cabo,74,24.80769,-107.39447,23.0769,-109.70915
Culiacan,San Luis Potosi,38,24.80769,-107.39447,22.15271,-100.97663
Culiacan,Tijuana,444,24.80769,-107.39447,32.53507,-117.04097
Del Bajio,Mexicali,18,20.66774,-101.33058,32.6411,-115.4745
Del Bajio,Mexico,327,20.66774,-101.33058,23.95282499,-102.548353419
Del Bajio,Monterrey,124,20.66774,-101.33058,25.67093,-100.30999
Del Bajio,Puerto Vallarta,18,20.66774,-101.33058,20.60841,-105.23525
Del Bajio,San José Del Cabo,18,20.66774,-101.33058,23.0769,-109.70915
Del Bajio,Tijuana,341,20.66774,-101.33058,32.53507,-117.04097
Durango,Guadalajara,26,24.00683,-104.68135,20.68758,-103.35104
Durango,Mexico,217,24.00683,-104.68135,23.95282499,-102.548353419
Durango,Tijuana,94,24.00683,-104.68135,32.53507,-117.04097
Guadalajara,Hermosillo,163,20.68758,-103.35104,29.07455,-110.95912
Guadalajara,La Paz,134,20.68758,-103.35104,24.16185,-110.31322
Guadalajara,Los Mochis,37,20.68758,-103.35104,25.79269,-108.98897
Guadalajara,Mazatlan,18,20.68758,-103.35104,23.2,-106.42175
Guadalajara,Merida,102,20.68758,-103.35104,20.9667,-89.62317
Guadalajara,Mexicali,251,20.68758,-103.35104,32.6411,-115.4745
Guadalajara,Mexico,1529,20.68758,-103.35104,23.95282499,-102.548353419
Guadalajara,Monterrey,426,20.68758,-103.35104,25.67093,-100.30999
Guadalajara,Oaxaca,34,20.68758,-103.35104,17.06173,-96.7261
Guadalajara,Puebla,42,20.68758,-103.35104,19.04386,-98.19756
Guadalajara,Puerto Escondido,20,20.68758,-103.35104,15.87124,-97.08704
Guadalajara,Puerto Vallarta,298,20.68758,-103.35104,20.60841,-105.23525
Guadalajara,Queretaro,30,20.68758,-103.35104,20.59209,-100.39601
Guadalajara,Reynosa,42,20.68758,-103.35104,26.09279,-98.27749
Guadalajara,San José Del Cabo,150,20.68758,-103.35104,23.0769,-109.70915
Guadalajara,San Luis Potosi,33,20.68758,-103.35104,22.15271,-100.97663
Guadalajara,Tapachula,24,20.68758,-103.35104,14.91117,-92.2646
Guadalajara,Tijuana,1108,20.68758,-103.35104,32.53507,-117.04097
Guadalajara,Torreon,22,20.68758,-103.35104,25.53938,-103.45327
Guadalajara,Tuxtla Gutierrez,100,20.68758,-103.35104,16.75519,-93.11544
Guadalajara,Veracruz,124,20.68758,-103.35104,19.19535,-96.13683
Guadalajara,Villahermosa,36,20.68758,-103.35104,17.99864,-92.90197
Hermosillo,La Paz,54,29.07455,-110.95912,24.16185,-110.31322
Hermosillo,Mexicali,38,29.07455,-110.95912,32.6411,-115.4745
Hermosillo,Mexico,523,29.07455,-110.95912,23.95282499,-102.548353419
Hermosillo,Monterrey,76,29.07455,-110.95912,25.67093,-100.30999
Hermosillo,Puerto Vallarta,6,29.07455,-110.95912,20.60841,-105.23525
Hermosillo,Queretaro,26,29.07455,-110.95912,20.59209,-100.39601
Hermosillo,San José Del Cabo,18,29.07455,-110.95912,23.0769,-109.70915
Hermosillo,San Luis Potosi,20,29.07455,-110.95912,22.15271,-100.97663
Hermosillo,Tijuana,139,29.07455,-110.95912,32.53507,-117.04097
Huatulco,Mexico,515,15.83616,-96.322,23.95282499,-102.548353419
Huatulco,Monterrey,18,15.83616,-96.322,25.67093,-100.30999
Huatulco,Tijuana,26,15.83616,-96.322,32.53507,-117.04097
Ixtapa Zihuatanejo,Mexico,389,17.66652,-101.59,23.95282499,-102.548353419
Ixtapa Zihuatanejo,Tijuana,18,17.66652,-101.59,32.53507,-117.04097
"Ixtepec, Oaxaca",Mexico,23,16.56052,-95.10375,23.95282499,-102.548353419
La Paz,Loreto,13,24.16185,-110.31322,22.27195,-101.98604
La Paz,Los Mochis,55,24.16185,-110.31322,25.79269,-108.98897
La Paz,Mazatlan,90,24.16185,-110.31322,23.2,-106.42175
La Paz,Mexico,278,24.16185,-110.31322,23.95282499,-102.548353419
La Paz,Monterrey,4,24.16185,-110.31322,25.67093,-100.30999
La Paz,Puerto Vallarta,30,24.16185,-110.31322,20.60841,-105.23525
La Paz,Tijuana,75,24.16185,-110.31322,32.53507,-117.04097
Loreto,Tijuana,39,22.27195,-101.98604,32.53507,-117.04097
Los Mochis,Los Cabos,46,25.79269,-108.98897,23.06158,-109.69529
Los Mochis,Mexico,130,25.79269,-108.98897,23.95282499,-102.548353419
Los Mochis,Monterrey,18,25.79269,-108.98897,25.67093,-100.30999
Los Mochis,Tijuana,82,25.79269,-108.98897,32.53507,-117.04097
Los Cabos,Mazatlan,54,23.06158,-109.69529,23.2,-106.42175
